0,  10,  10,  10,  100,  10,  10
0.125,  -742.171562031786,  -485.8032092565969,  -485.8032092565969,  -1249.826605848671,  843.1294312686834,  843.1294312686834
0.25,  86.35056827704557,  -37.17813623632969,  -37.17813623632969,  2021.991442745211,  -1404.003393314457,  -1404.003393314457
0.375,  -442.9349308866715,  276.1277961066241,  276.1277961066241,  3019.738168030355,  -363.5078644156879,  -363.5078644156879
0.5,  477.1862441528754,  -418.8105819036273,  -418.8105819036273,  348.4729026719388,  -2251.869420887883,  -2251.869420887883
0.625,  94.62567571212043,  6.85402008137703,  6.85402008137703,  3473.42974186951,  -334.8876156038414,  -334.8876156038414
0.75,  -512.3499535986332,  41.83118349002672,  41.83118349002672,  3366.265305012,  1154.28043696538,  1154.28043696538
0.875,  817.4107300003745,  -233.4480796818027,  -233.4480796818027,  2096.536783357173,  -2461.876216055459,  -2461.876216055459
1,  253.4951574145009,  48.50315218265786,  48.50315218265786,  4038.449288294995,  2191.338165289336,  2191.338165289336
1.125,  -137.9176370452163,  -101.9212021070081,  -101.9212021070081,  5180.350569448598,  -492.8553141978755,  -492.8553141978755
1.25,  -336.4947180770732,  450.7976403989697,  450.7976403989697,  -8725.813804164238,  616.4357978703313,  616.4357978703313
1.375,  103.09940942179,  141.4894704533535,  141.4894704533535,  6433.851015892244,  4058.490224629972,  4058.490224629972
1.5,  -10.62158021832172,  163.6052353155381,  163.6052353155381,  921.6998060128244,  5993.195319577598,  5993.195319577598
1.625,  -64.7895477784237,  172.9095079940438,  172.9095079940438,  -1770.827874196129,  5886.61282161401,  5886.61282161401
1.75,  -87.9770311404309,  186.5310862636581,  186.5310862636581,  -2622.004442478332,  5724.424791579048,  5724.424791579048
1.875,  -99.02669722609511,  203.0317749778545,  203.0317749778545,  -2771.344677242812,  5689.0999543917,  5689.0999543917
2,  -107.5272445207617,  220.1585709949845,  220.1585709949845,  -2778.041186385758,  5687.466623792531,  5687.466623792531
2.125,  -115.8973880247114,  237.3172258745591,  237.3172258745591,  -2777.575185662216,  5687.580421673765,  5687.580421673765
2.25,  -124.2776256641613,  254.47341602195,  254.47341602195,  -2777.654008317199,  5687.561174522466,  5687.561174522466
2.375,  -132.6559874675686,  271.6300642243496,  271.6300642243496,  -2777.633696036235,  5687.566134491202,  5687.566134491202
2.5,  -141.0348768445971,  288.786583601324,  288.786583601324,  -2777.640568968761,  5687.564456223598,  5687.564456223598
2.625,  -149.4135720371802,  305.9431503953015,  305.9431503953015,  -2777.637726303649,  5687.565150360553,  5687.565150360553
2.75,  -157.7923544920075,  323.099695881134,  323.099695881134,  -2777.639106206717,  5687.564813408643,  5687.564813408643
2.875,  -166.1710909166931,  340.2562526068482,  340.2562526068482,  -2777.638339605132,  5687.565000601431,  5687.565000601431
3,  -174.5498551581578,  357.4128025401166,  357.4128025401166,  -2777.638819115485,  5687.564883512093,  5687.564883512093
3.125,  -182.9286004415687,  374.5693571026617,  374.5693571026617,  -2777.638485026225,  5687.564965091753,  5687.564965091753
3.25,  -191.3073601470665,  391.7259081435462,  391.7259081435462,  -2777.638742496875,  5687.564902221223,  5687.564902221223
3.375,  -199.6861076868831,  408.8824621551103,  408.8824621551103,  -2777.638523955474,  5687.564955585804,  5687.564955585804
3.5,  -208.0648665614654,  426.0390133988918,  426.0390133988918,  -2777.638727808412,  5687.564905807925,  5687.564905807925
3.625,  -216.4436137932257,  443.195567485678,  443.195567485678,  -2777.638518955839,  5687.564956806634,  5687.564956806634
3.75,  -224.8223742084612,  460.352118353254,  460.352118353254,  -2777.63875418501,  5687.564899367148,  5687.564899367148
3.875,  -233.2011181437242,  477.5086732449961,  477.5086732449961,  -2777.638462281499,  5687.564970645672,  5687.564970645672
4,  -241.5798848882775,  494.6652225670464,  494.6652225670464,  -2777.638862804557,  5687.564872843861,  5687.564872843861
4.125,  -249.9586165224866,  511.8217804625243,  511.8217804625243,  -2777.63825212806,  5687.565021962037,  5687.565021962037
4.25,  -258.3374086355207,  528.9783235899663,  528.9783235899663,  -2777.639293586617,  5687.564767653244,  5687.564767653244
4.375,  -266.7160832135475,  546.1348954177193,  546.1348954177193,  -2777.637289977819,  5687.565256904883,  5687.565256904883
4.5,  -275.0950182739473,  563.2914036395179,  563.2914036395179,  -2777.641686330936,  5687.564183380281,  5687.564183380281
4.625,  -283.4732856683363,  580.448074895425,  580.448074895425,  -2777.630525392691,  5687.566908715415,  5687.566908715415
4.75,  -291.8535701242524,  597.6042536139938,  597.6042536139938,  -2777.663939387133,  5687.558749500126,  5687.558749500126
4.875,  -300.2264817903694,  614.7622326476355,  614.7622326476355,  -2777.542818233326,  5687.588325315706,  5687.588325315706
5,  -308.6332681779085,  631.9119397006864,  631.9119397006864,  -2778.095170670126,  5687.453444624925,  5687.453444624925
5.125,  -316.8322599390315,  649.1123753366913,  649.1123753366913,  -2774.728832895578,  5688.275265926708,  5688.275265926708
5.25,  -326.9275121082121,  665.8486551963846,  665.8486551963846,  -2805.284428594025,  5680.796174391861,  5680.796174391861
5.375,  -303.6358666939495,  690.3493179904178,  690.3493179904178,  -2269.523612532105,  5805.410446937436,  5805.410446937436
5.5,  -1007.184025035707,  -101.4052185169325,  -101.4052185169325,  -13919.11203852938,  -7259.338974175269,  -7259.338974175269
5.625,  -232.0073415816711,  9.049270351876231,  9.049270351876231,  14048.97227941892,  13324.45113328514,  13324.45113328514
5.75,  1137.774511076319,  659.7540147359769,  659.7540147359769,  -1293.571790772776,  3249.89048860087,  3249.89048860087
